Transfer Date by Week,Transfer Year,RIN Year,Fuel (D Code),QAP Service Type,RIN Price,Accessed 6/2/2022,,,,,
1/2/17,2017,2016,D3,Unverified,$2.10 ,,,,,,
1/9/17,2017,2016,D3,Q-RIN,$2.30 ,,,,,,
1/9/17,2017,2016,D3,Unverified,$2.23 ,,,,,,
1/16/17,2017,2016,D3,Q-RIN,$1.80 ,,,,,,
1/23/17,2017,2015,D3,Q-RIN,$2.25 ,,,,,,
1/23/17,2017,2016,D3,Q-RIN,$2.24 ,,,,,,
1/30/17,2017,2016,D3,Q-RIN,$2.31 ,,,,,,
2/6/17,2017,2015,D3,Unverified,$2.05 ,,,,,,
2/6/17,2017,2016,D3,Q-RIN,$2.26 ,,,,,,
2/6/17,2017,2016,D3,Unverified,$2.50 ,,,,,,
2/13/17,2017,2016,D3,Q-RIN,$2.45 ,,,,,,
2/13/17,2017,2017,D3,Q-RIN,$2.57 ,,,,,,
2/20/17,2017,2015,D3,Unverified,$2.00 ,,,,,,
2/20/17,2017,2016,D3,Q-RIN,$1.33 ,,,,,,
2/20/17,2017,2017,D3,Q-RIN,$2.03 ,,,,,,
2/27/17,2017,2015,D3,Q-RIN,$1.97 ,,,,,,
2/27/17,2017,2016,D3,Q-RIN,$2.44 ,,,,,,
2/27/17,2017,2016,D3,Unverified,$2.23 ,,,,,,
2/27/17,2017,2017,D3,Q-RIN,$2.57 ,,,,,,
3/6/17,2017,2016,D3,Q-RIN,$2.23 ,,,,,,
3/6/17,2017,2017,D3,Q-RIN,$2.52 ,,,,,,
3/13/17,2017,2015,D3,Q-RIN,$1.96 ,,,,,,
3/13/17,2017,2015,D3,Unverified,$1.13 ,,,,,,
3/13/17,2017,2016,D3,Q-RIN,$1.74 ,,,,,,
3/13/17,2017,2017,D3,Q-RIN,$2.68 ,,,,,,
3/20/17,2017,2015,D3,Q-RIN,$1.90 ,,,,,,
3/20/17,2017,2015,D3,Unverified,$1.80 ,,,,,,
3/20/17,2017,2016,D3,Q-RIN,$2.22 ,,,,,,
3/20/17,2017,2017,D3,Q-RIN,$2.14 ,,,,,,
3/27/17,2017,2015,D3,Q-RIN,$1.90 ,,,,,,
3/27/17,2017,2015,D3,Unverified,$1.90 ,,,,,,
3/27/17,2017,2016,D3,Q-RIN,$2.26 ,,,,,,
3/27/17,2017,2016,D3,Unverified,$2.28 ,,,,,,
3/27/17,2017,2017,D3,Q-RIN,$2.58 ,,,,,,
4/3/17,2017,2016,D3,Q-RIN,$2.32 ,,,,,,
4/3/17,2017,2017,D3,Q-RIN,$2.48 ,,,,,,
4/10/17,2017,2016,D3,Q-RIN,$2.38 ,,,,,,
4/10/17,2017,2017,D3,Q-RIN,$2.57 ,,,,,,
4/17/17,2017,2017,D3,Q-RIN,$2.46 ,,,,,,
4/24/17,2017,2016,D3,Q-RIN,$2.25 ,,,,,,
4/24/17,2017,2016,D3,Unverified,$1.75 ,,,,,,
4/24/17,2017,2017,D3,Q-RIN,$2.59 ,,,,,,
4/24/17,2017,2017,D3,Unverified,$2.35 ,,,,,,
5/1/17,2017,2016,D3,Unverified,$2.40 ,,,,,,
5/1/17,2017,2017,D3,Q-RIN,$2.41 ,,,,,,
5/8/17,2017,2016,D3,Q-RIN,$2.38 ,,,,,,
5/8/17,2017,2016,D3,Unverified,$2.40 ,,,,,,
5/8/17,2017,2017,D3,Q-RIN,$2.54 ,,,,,,
5/15/17,2017,2016,D3,Q-RIN,$2.30 ,,,,,,
5/15/17,2017,2017,D3,Q-RIN,$2.30 ,,,,,,
5/22/17,2017,2017,D3,Q-RIN,$2.52 ,,,,,,
